date,team_a,team_b,team_a_elo,team_b_elo,team_a_ranking,team_a_rating,team_a_goals_per_game,team_a_avg_possession,team_a_pass_accuracy,team_a_shots_per_game,team_a_tackles_per_game,team_a_dribble_per_game,team_a_coach_ranking,team_b_ranking,team_b_rating,team_b_goals_per_game,team_b_avg_possession,team_b_pass_accuracy,team_b_shots_per_game,team_b_tackles_per_game,team_b_dribble_per_game,team_b_coach_ranking,team_home,results,total match goals
21/8/2017,manchester_city,everton,1873,1760,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,1,0,2
26/8/2017,bournemouth,manchester_city,1635,1870,203,6.65,1.2,48.5,77,12.2,13.4,9,154,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,1,2,3
26/8/2017,crystal_palace,swansea,1620,1646,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,207,6.59,0.7,46,78.2,8.9,16.4,8.4,300,1,2,2
26/8/2017,huddersfield,southampton,1510,1697,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,197,6.67,1,51,77.5,11.8,17.3,10,239,1,0,0
26/8/2017,newcastle_united,west_ham,1612,1664,211,6.72,1,43.8,72.3,11.9,16.9,8,168,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,1,1,3
26/8/2017,watford,brighton,1627,1577,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,1,0,0
26/8/2017,manchester_united,leicester_city,1876,1721,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,1,1,2
27/8/2017,chelsea,everton,1906,1768,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,1,1,2
27/8/2017,west_bromwich_albion,stoke,1664,1672,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,599,1,0,2
27/8/2017,tottenham,burnley,1886,1638,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,157,6.78,0.9,45.1,70.5,9.9,14,5.7,121,1,0,2
27/8/2017,liverpool,arsenal,1851,1843,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,1,1,4
9/9/17,manchester_city,liverpool,1874,1862,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,1,1,5
9/9/17,southampton,watford,1694,1623,197,6.67,1,51,77.5,11.8,17.3,10,239,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,1,2,2
9/9/17,arsenal,bournemouth,1832,1631,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,203,6.65,1.2,48.5,77,12.2,13.4,9,154,1,1,3
9/9/17,brighton,west_bromwich_albion,1581,1662,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,1,1,4
9/9/17,everton,tottenham,1763,1879,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,1,2,3
9/9/17,leicester,chelsea,1717,1911,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,1,2,3
9/9/17,stoke,manchester_united,1674,1880,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,599,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,1,0,4
